"lat","lon","time","avg","max","min","n"
25.2,-80.3,2015-07-20,NA,-Inf,Inf,24
25.2,-80.3,2015-07-21,NA,-Inf,Inf,24
25.2,-80.3,2015-07-22,NA,-Inf,Inf,24
25.2,-80.3,2015-07-23,NA,-Inf,Inf,24
25.2,-80.3,2015-07-24,NA,-Inf,Inf,24
25.2,-80.3,2015-07-25,NA,-Inf,Inf,24
25.2,-80.3,2015-07-26,NA,-Inf,Inf,24
25.2,-80.3,2015-07-27,NA,-Inf,Inf,24
25.2,-80.3,2015-07-28,NA,-Inf,Inf,24
25.2,-80.3,2015-07-29,NA,-Inf,Inf,24
25.2,-80.3,2015-07-30,NA,-Inf,Inf,24
25.2,-80.3,2015-07-31,NA,-Inf,Inf,24
25.2,-80.2,2015-07-01,NA,-Inf,Inf,24
25.2,-80.2,2015-07-02,NA,-Inf,Inf,24
25.2,-80.2,2015-07-03,NA,-Inf,Inf,24
25.2,-80.2,2015-07-04,NA,-Inf,Inf,24
25.2,-80.2,2015-07-05,NA,-Inf,Inf,24
25.2,-80.2,2015-07-06,NA,-Inf,Inf,24
25.2,-80.2,2015-07-07,NA,-Inf,Inf,24
25.2,-80.2,2015-07-08,NA,-Inf,Inf,24
25.2,-80.2,2015-07-09,NA,-Inf,Inf,24
25.2,-80.2,2015-07-10,NA,-Inf,Inf,24
25.2,-80.2,2015-07-11,NA,-Inf,Inf,24
25.2,-80.2,2015-07-12,NA,-Inf,Inf,24
25.2,-80.2,2015-07-13,NA,-Inf,Inf,24
25.2,-80.2,2015-07-14,NA,-Inf,Inf,24
25.2,-80.2,2015-07-15,NA,-Inf,Inf,24
25.2,-80.2,2015-07-16,NA,-Inf,Inf,24
25.2,-80.2,2015-07-17,NA,-Inf,Inf,24
25.2,-80.2,2015-07-18,NA,-Inf,Inf,24
25.2,-80.2,2015-07-19,NA,-Inf,Inf,24
25.2,-80.2,2015-07-20,NA,-Inf,Inf,24
25.2,-80.2,2015-07-21,NA,-Inf,Inf,24
25.2,-80.2,2015-07-22,NA,-Inf,Inf,24
25.2,-80.2,2015-07-23,NA,-Inf,Inf,24
25.2,-80.2,2015-07-24,NA,-Inf,Inf,24
25.2,-80.2,2015-07-25,NA,-Inf,Inf,24
25.2,-80.2,2015-07-26,NA,-Inf,Inf,24
25.2,-80.2,2015-07-27,NA,-Inf,Inf,24
25.2,-80.2,2015-07-28,NA,-Inf,Inf,24
25.2,-80.2,2015-07-29,NA,-Inf,Inf,24
25.2,-80.2,2015-07-30,NA,-Inf,Inf,24
25.2,-80.2,2015-07-31,NA,-Inf,Inf,24
25.2,-80.1,2015-07-01,NA,-Inf,Inf,24
25.2,-80.1,2015-07-02,NA,-Inf,Inf,24
25.2,-80.1,2015-07-03,NA,-Inf,Inf,24
25.2,-80.1,2015-07-04,NA,-Inf,Inf,24
25.2,-80.1,2015-07-05,NA,-Inf,Inf,24
25.2,-80.1,2015-07-06,NA,-Inf,Inf,24
25.2,-80.1,2015-07-07,NA,-Inf,Inf,24
25.2,-80.1,2015-07-08,NA,-Inf,Inf,24
25.2,-80.1,2015-07-09,NA,-Inf,Inf,24
25.2,-80.1,2015-07-10,NA,-Inf,Inf,24
25.2,-80.1,2015-07-11,NA,-Inf,Inf,24
25.2,-80.1,2015-07-12,NA,-Inf,Inf,24
25.2,-80.1,2015-07-13,NA,-Inf,Inf,24
25.2,-80.1,2015-07-14,NA,-Inf,Inf,24
25.2,-80.1,2015-07-15,NA,-Inf,Inf,24
25.2,-80.1,2015-07-16,NA,-Inf,Inf,24
25.2,-80.1,2015-07-17,NA,-Inf,Inf,24
25.2,-80.1,2015-07-18,NA,-Inf,Inf,24
25.2,-80.1,2015-07-19,NA,-Inf,Inf,24
25.2,-80.1,2015-07-20,NA,-Inf,Inf,24
25.2,-80.1,2015-07-21,NA,-Inf,Inf,24
25.2,-80.1,2015-07-22,NA,-Inf,Inf,24
25.2,-80.1,2015-07-23,NA,-Inf,Inf,24
25.2,-80.1,2015-07-24,NA,-Inf,Inf,24
25.2,-80.1,2015-07-25,NA,-Inf,Inf,24
25.2,-80.1,2015-07-26,NA,-Inf,Inf,24
25.2,-80.1,2015-07-27,NA,-Inf,Inf,24
25.2,-80.1,2015-07-28,NA,-Inf,Inf,24
25.2,-80.1,2015-07-29,NA,-Inf,Inf,24
25.2,-80.1,2015-07-30,NA,-Inf,Inf,24
25.2,-80.1,2015-07-31,NA,-Inf,Inf,24
25.2,-80,2015-07-01,NA,-Inf,Inf,24
25.2,-80,2015-07-02,NA,-Inf,Inf,24
25.2,-80,2015-07-03,NA,-Inf,Inf,24
25.2,-80,2015-07-04,NA,-Inf,Inf,24
25.2,-80,2015-07-05,NA,-Inf,Inf,24
25.2,-80,2015-07-06,NA,-Inf,Inf,24
25.2,-80,2015-07-07,NA,-Inf,Inf,24
25.2,-80,2015-07-08,NA,-Inf,Inf,24
25.2,-80,2015-07-09,NA,-Inf,Inf,24
25.2,-80,2015-07-10,NA,-Inf,Inf,24
25.2,-80,2015-07-11,NA,-Inf,Inf,24
25.2,-80,2015-07-12,NA,-Inf,Inf,24
25.2,-80,2015-07-13,NA,-Inf,Inf,24
25.2,-80,2015-07-14,NA,-Inf,Inf,24
25.2,-80,2015-07-15,NA,-Inf,Inf,24
25.2,-80,2015-07-16,NA,-Inf,Inf,24
25.2,-80,2015-07-17,NA,-Inf,Inf,24
25.2,-80,2015-07-18,NA,-Inf,Inf,24
25.2,-80,2015-07-19,NA,-Inf,Inf,24
25.2,-80,2015-07-20,NA,-Inf,Inf,24
25.2,-80,2015-07-21,NA,-Inf,Inf,24
25.2,-80,2015-07-22,NA,-Inf,Inf,24
25.2,-80,2015-07-23,NA,-Inf,Inf,24
25.2,-80,2015-07-24,NA,-Inf,Inf,24
25.2,-80,2015-07-25,NA,-Inf,Inf,24
25.2,-80,2015-07-26,NA,-Inf,Inf,24
25.2,-80,2015-07-27,NA,-Inf,Inf,24
25.2,-80,2015-07-28,NA,-Inf,Inf,24
25.2,-80,2015-07-29,NA,-Inf,Inf,24
25.2,-80,2015-07-30,NA,-Inf,Inf,24
25.2,-80,2015-07-31,NA,-Inf,Inf,24
25.2,-79.9,2015-07-01,NA,-Inf,Inf,24
25.2,-79.9,2015-07-02,NA,-Inf,Inf,24
25.2,-79.9,2015-07-03,NA,-Inf,Inf,24
25.2,-79.9,2015-07-04,NA,-Inf,Inf,24
25.2,-79.9,2015-07-05,NA,-Inf,Inf,24
25.2,-79.9,2015-07-06,NA,-Inf,Inf,24
25.2,-79.9,2015-07-07,NA,-Inf,Inf,24
25.2,-79.9,2015-07-08,NA,-Inf,Inf,24
25.2,-79.9,2015-07-09,NA,-Inf,Inf,24
25.2,-79.9,2015-07-10,NA,-Inf,Inf,24
25.2,-79.9,2015-07-11,NA,-Inf,Inf,24
25.2,-79.9,2015-07-12,NA,-Inf,Inf,24
25.2,-79.9,2015-07-13,NA,-Inf,Inf,24
25.2,-79.9,2015-07-14,NA,-Inf,Inf,24
25.2,-79.9,2015-07-15,NA,-Inf,Inf,24
25.2,-79.9,2015-07-16,NA,-Inf,Inf,24
25.2,-79.9,2015-07-17,NA,-Inf,Inf,24
25.2,-79.9,2015-07-18,NA,-Inf,Inf,24
25.2,-79.9,2015-07-19,NA,-Inf,Inf,24
25.2,-79.9,2015-07-20,NA,-Inf,Inf,24
25.2,-79.9,2015-07-21,NA,-Inf,Inf,24
25.2,-79.9,2015-07-22,NA,-Inf,Inf,24
25.2,-79.9,2015-07-23,NA,-Inf,Inf,24
25.2,-79.9,2015-07-24,NA,-Inf,Inf,24
25.2,-79.9,2015-07-25,NA,-Inf,Inf,24
25.2,-79.9,2015-07-26,NA,-Inf,Inf,24
25.2,-79.9,2015-07-27,NA,-Inf,Inf,24
25.2,-79.9,2015-07-28,NA,-Inf,Inf,24
25.2,-79.9,2015-07-29,NA,-Inf,Inf,24
25.2,-79.9,2015-07-30,NA,-Inf,Inf,24
25.2,-79.9,2015-07-31,NA,-Inf,Inf,24
25.2,-79.8,2015-07-01,NA,-Inf,Inf,24
25.2,-79.8,2015-07-02,NA,-Inf,Inf,24
25.2,-79.8,2015-07-03,NA,-Inf,Inf,24
25.2,-79.8,2015-07-04,NA,-Inf,Inf,24
25.2,-79.8,2015-07-05,NA,-Inf,Inf,24
25.2,-79.8,2015-07-06,NA,-Inf,Inf,24
25.2,-79.8,2015-07-07,NA,-Inf,Inf,24
25.2,-79.8,2015-07-08,NA,-Inf,Inf,24
25.2,-79.8,2015-07-09,NA,-Inf,Inf,24
25.2,-79.8,2015-07-10,NA,-Inf,Inf,24
25.2,-79.8,2015-07-11,NA,-Inf,Inf,24
25.2,-79.8,2015-07-12,NA,-Inf,Inf,24
25.2,-79.8,2015-07-13,NA,-Inf,Inf,24
25.2,-79.8,2015-07-14,NA,-Inf,Inf,24
25.2,-79.8,2015-07-15,NA,-Inf,Inf,24
25.2,-79.8,2015-07-16,NA,-Inf,Inf,24
25.2,-79.8,2015-07-17,NA,-Inf,Inf,24
25.2,-79.8,2015-07-18,NA,-Inf,Inf,24
25.2,-79.8,2015-07-19,NA,-Inf,Inf,24
25.2,-79.8,2015-07-20,NA,-Inf,Inf,24
25.2,-79.8,2015-07-21,NA,-Inf,Inf,24
25.2,-79.8,2015-07-22,NA,-Inf,Inf,24
25.2,-79.8,2015-07-23,NA,-Inf,Inf,24
25.2,-79.8,2015-07-24,NA,-Inf,Inf,24
25.2,-79.8,2015-07-25,NA,-Inf,Inf,24
25.2,-79.8,2015-07-26,NA,-Inf,Inf,24
25.2,-79.8,2015-07-27,NA,-Inf,Inf,24
25.2,-79.8,2015-07-28,NA,-Inf,Inf,24
25.2,-79.8,2015-07-29,NA,-Inf,Inf,24
25.2,-79.8,2015-07-30,NA,-Inf,Inf,24
25.2,-79.8,2015-07-31,NA,-Inf,Inf,24
25.2,-79.7,2015-07-01,NA,-Inf,Inf,24
25.2,-79.7,2015-07-02,NA,-Inf,Inf,24
25.2,-79.7,2015-07-03,NA,-Inf,Inf,24
25.2,-79.7,2015-07-04,NA,-Inf,Inf,24
25.2,-79.7,2015-07-05,NA,-Inf,Inf,24
25.2,-79.7,2015-07-06,NA,-Inf,Inf,24
25.2,-79.7,2015-07-07,NA,-Inf,Inf,24
25.2,-79.7,2015-07-08,NA,-Inf,Inf,24
25.2,-79.7,2015-07-09,NA,-Inf,Inf,24
25.2,-79.7,2015-07-10,NA,-Inf,Inf,24
25.2,-79.7,2015-07-11,NA,-Inf,Inf,24
25.2,-79.7,2015-07-12,NA,-Inf,Inf,24
25.2,-79.7,2015-07-13,NA,-Inf,Inf,24
25.2,-79.7,2015-07-14,NA,-Inf,Inf,24
25.2,-79.7,2015-07-15,NA,-Inf,Inf,24
25.2,-79.7,2015-07-16,NA,-Inf,Inf,24
25.2,-79.7,2015-07-17,NA,-Inf,Inf,24
25.2,-79.7,2015-07-18,NA,-Inf,Inf,24
25.2,-79.7,2015-07-19,NA,-Inf,Inf,24
25.2,-79.7,2015-07-20,NA,-Inf,Inf,24
25.2,-79.7,2015-07-21,NA,-Inf,Inf,24
25.2,-79.7,2015-07-22,NA,-Inf,Inf,24
25.2,-79.7,2015-07-23,NA,-Inf,Inf,24
25.2,-79.7,2015-07-24,NA,-Inf,Inf,24
25.2,-79.7,2015-07-25,NA,-Inf,Inf,24
25.2,-79.7,2015-07-26,NA,-Inf,Inf,24
25.2,-79.7,2015-07-27,NA,-Inf,Inf,24
25.2,-79.7,2015-07-28,NA,-Inf,Inf,24
25.2,-79.7,2015-07-29,NA,-Inf,Inf,24
25.2,-79.7,2015-07-30,NA,-Inf,Inf,24
25.2,-79.7,2015-07-31,NA,-Inf,Inf,24
25.2,-79.6,2015-07-01,NA,-Inf,Inf,24
25.2,-79.6,2015-07-02,NA,-Inf,Inf,24
25.2,-79.6,2015-07-03,NA,-Inf,Inf,24
25.2,-79.6,2015-07-04,NA,-Inf,Inf,24
25.2,-79.6,2015-07-05,NA,-Inf,Inf,24
25.2,-79.6,2015-07-06,NA,-Inf,Inf,24
25.2,-79.6,2015-07-07,NA,-Inf,Inf,24
25.2,-79.6,2015-07-08,NA,-Inf,Inf,24
25.2,-79.6,2015-07-09,NA,-Inf,Inf,24
25.2,-79.6,2015-07-10,NA,-Inf,Inf,24
25.2,-79.6,2015-07-11,NA,-Inf,Inf,24
25.2,-79.6,2015-07-12,NA,-Inf,Inf,24
25.2,-79.6,2015-07-13,NA,-Inf,Inf,24
25.2,-79.6,2015-07-14,NA,-Inf,Inf,24
25.2,-79.6,2015-07-15,NA,-Inf,Inf,24
25.2,-79.6,2015-07-16,NA,-Inf,Inf,24
25.2,-79.6,2015-07-17,NA,-Inf,Inf,24
25.2,-79.6,2015-07-18,NA,-Inf,Inf,24
25.2,-79.6,2015-07-19,NA,-Inf,Inf,24
25.2,-79.6,2015-07-20,NA,-Inf,Inf,24
25.2,-79.6,2015-07-21,NA,-Inf,Inf,24
25.2,-79.6,2015-07-22,NA,-Inf,Inf,24
25.2,-79.6,2015-07-23,NA,-Inf,Inf,24
25.2,-79.6,2015-07-24,NA,-Inf,Inf,24
25.2,-79.6,2015-07-25,NA,-Inf,Inf,24
25.2,-79.6,2015-07-26,NA,-Inf,Inf,24
25.2,-79.6,2015-07-27,NA,-Inf,Inf,24
25.2,-79.6,2015-07-28,NA,-Inf,Inf,24
25.2,-79.6,2015-07-29,NA,-Inf,Inf,24
25.2,-79.6,2015-07-30,NA,-Inf,Inf,24
25.2,-79.6,2015-07-31,NA,-Inf,Inf,24
25.2,-79.5,2015-07-01,NA,-Inf,Inf,24
25.2,-79.5,2015-07-02,NA,-Inf,Inf,24
25.2,-79.5,2015-07-03,NA,-Inf,Inf,24
25.2,-79.5,2015-07-04,NA,-Inf,Inf,24
25.2,-79.5,2015-07-05,NA,-Inf,Inf,24
25.2,-79.5,2015-07-06,NA,-Inf,Inf,24
25.2,-79.5,2015-07-07,NA,-Inf,Inf,24
25.2,-79.5,2015-07-08,NA,-Inf,Inf,24
25.2,-79.5,2015-07-09,NA,-Inf,Inf,24
25.2,-79.5,2015-07-10,NA,-Inf,Inf,24
25.2,-79.5,2015-07-11,NA,-Inf,Inf,24
25.2,-79.5,2015-07-12,NA,-Inf,Inf,24
25.2,-79.5,2015-07-13,NA,-Inf,Inf,24
25.2,-79.5,2015-07-14,NA,-Inf,Inf,24
25.2,-79.5,2015-07-15,NA,-Inf,Inf,24
25.2,-79.5,2015-07-16,NA,-Inf,Inf,24
25.2,-79.5,2015-07-17,NA,-Inf,Inf,24
25.2,-79.5,2015-07-18,NA,-Inf,Inf,24
25.2,-79.5,2015-07-19,NA,-Inf,Inf,24
25.2,-79.5,2015-07-20,NA,-Inf,Inf,24
25.2,-79.5,2015-07-21,NA,-Inf,Inf,24
25.2,-79.5,2015-07-22,NA,-Inf,Inf,24
25.2,-79.5,2015-07-23,NA,-Inf,Inf,24
25.2,-79.5,2015-07-24,NA,-Inf,Inf,24
25.2,-79.5,2015-07-25,NA,-Inf,Inf,24
25.2,-79.5,2015-07-26,NA,-Inf,Inf,24
25.2,-79.5,2015-07-27,NA,-Inf,Inf,24
25.2,-79.5,2015-07-28,NA,-Inf,Inf,24
25.2,-79.5,2015-07-29,NA,-Inf,Inf,24
25.2,-79.5,2015-07-30,NA,-Inf,Inf,24
25.2,-79.5,2015-07-31,NA,-Inf,Inf,24
25.2,-79.4,2015-07-01,NA,-Inf,Inf,24
25.2,-79.4,2015-07-02,NA,-Inf,Inf,24
25.2,-79.4,2015-07-03,NA,-Inf,Inf,24
25.2,-79.4,2015-07-04,NA,-Inf,Inf,24
25.2,-79.4,2015-07-05,NA,-Inf,Inf,24
25.2,-79.4,2015-07-06,NA,-Inf,Inf,24
25.2,-79.4,2015-07-07,NA,-Inf,Inf,24
25.2,-79.4,2015-07-08,NA,-Inf,Inf,24
25.2,-79.4,2015-07-09,NA,-Inf,Inf,24
25.2,-79.4,2015-07-10,NA,-Inf,Inf,24
25.2,-79.4,2015-07-11,NA,-Inf,Inf,24
25.2,-79.4,2015-07-12,NA,-Inf,Inf,24
25.2,-79.4,2015-07-13,NA,-Inf,Inf,24
25.2,-79.4,2015-07-14,NA,-Inf,Inf,24
25.2,-79.4,2015-07-15,NA,-Inf,Inf,24
25.2,-79.4,2015-07-16,NA,-Inf,Inf,24
25.2,-79.4,2015-07-17,NA,-Inf,Inf,24
25.2,-79.4,2015-07-18,NA,-Inf,Inf,24
25.2,-79.4,2015-07-19,NA,-Inf,Inf,24
25.2,-79.4,2015-07-20,NA,-Inf,Inf,24
25.2,-79.4,2015-07-21,NA,-Inf,Inf,24
25.2,-79.4,2015-07-22,NA,-Inf,Inf,24
25.2,-79.4,2015-07-23,NA,-Inf,Inf,24
25.2,-79.4,2015-07-24,NA,-Inf,Inf,24
25.2,-79.4,2015-07-25,NA,-Inf,Inf,24
25.2,-79.4,2015-07-26,NA,-Inf,Inf,24
25.2,-79.4,2015-07-27,NA,-Inf,Inf,24
25.2,-79.4,2015-07-28,NA,-Inf,Inf,24
25.2,-79.4,2015-07-29,NA,-Inf,Inf,24
25.2,-79.4,2015-07-30,NA,-Inf,Inf,24
25.2,-79.4,2015-07-31,NA,-Inf,Inf,24
25.2,-79.3,2015-07-01,NA,-Inf,Inf,24
25.2,-79.3,2015-07-02,NA,-Inf,Inf,24
25.2,-79.3,2015-07-03,NA,-Inf,Inf,24
25.2,-79.3,2015-07-04,NA,-Inf,Inf,24
25.2,-79.3,2015-07-05,NA,-Inf,Inf,24
25.2,-79.3,2015-07-06,NA,-Inf,Inf,24
25.2,-79.3,2015-07-07,NA,-Inf,Inf,24
25.2,-79.3,2015-07-08,NA,-Inf,Inf,24
25.2,-79.3,2015-07-09,NA,-Inf,Inf,24
25.2,-79.3,2015-07-10,NA,-Inf,Inf,24
25.2,-79.3,2015-07-11,NA,-Inf,Inf,24
25.2,-79.3,2015-07-12,NA,-Inf,Inf,24
25.2,-79.3,2015-07-13,NA,-Inf,Inf,24
25.2,-79.3,2015-07-14,NA,-Inf,Inf,24
25.2,-79.3,2015-07-15,NA,-Inf,Inf,24
25.2,-79.3,2015-07-16,NA,-Inf,Inf,24
25.2,-79.3,2015-07-17,NA,-Inf,Inf,24
25.2,-79.3,2015-07-18,NA,-Inf,Inf,24
25.2,-79.3,2015-07-19,NA,-Inf,Inf,24
25.2,-79.3,2015-07-20,NA,-Inf,Inf,24
25.2,-79.3,2015-07-21,NA,-Inf,Inf,24
25.2,-79.3,2015-07-22,NA,-Inf,Inf,24
25.2,-79.3,2015-07-23,NA,-Inf,Inf,24
25.2,-79.3,2015-07-24,NA,-Inf,Inf,24
25.2,-79.3,2015-07-25,NA,-Inf,Inf,24
25.2,-79.3,2015-07-26,NA,-Inf,Inf,24
25.2,-79.3,2015-07-27,NA,-Inf,Inf,24
25.2,-79.3,2015-07-28,NA,-Inf,Inf,24
25.2,-79.3,2015-07-29,NA,-Inf,Inf,24
25.2,-79.3,2015-07-30,NA,-Inf,Inf,24
25.2,-79.3,2015-07-31,NA,-Inf,Inf,24
25.2,-79.2,2015-07-01,NA,-Inf,Inf,24
25.2,-79.2,2015-07-02,NA,-Inf,Inf,24
25.2,-79.2,2015-07-03,NA,-Inf,Inf,24
25.2,-79.2,2015-07-04,NA,-Inf,Inf,24
25.2,-79.2,2015-07-05,NA,-Inf,Inf,24
25.2,-79.2,2015-07-06,NA,-Inf,Inf,24
25.2,-79.2,2015-07-07,NA,-Inf,Inf,24
25.2,-79.2,2015-07-08,NA,-Inf,Inf,24
25.2,-79.2,2015-07-09,NA,-Inf,Inf,24
25.2,-79.2,2015-07-10,NA,-Inf,Inf,24
25.2,-79.2,2015-07-11,NA,-Inf,Inf,24
25.2,-79.2,2015-07-12,NA,-Inf,Inf,24
25.2,-79.2,2015-07-13,NA,-Inf,Inf,24
25.2,-79.2,2015-07-14,NA,-Inf,Inf,24
25.2,-79.2,2015-07-15,NA,-Inf,Inf,24
25.2,-79.2,2015-07-16,NA,-Inf,Inf,24
25.2,-79.2,2015-07-17,NA,-Inf,Inf,24
25.2,-79.2,2015-07-18,NA,-Inf,Inf,24
25.2,-79.2,2015-07-19,NA,-Inf,Inf,24
25.2,-79.2,2015-07-20,NA,-Inf,Inf,24
25.2,-79.2,2015-07-21,NA,-Inf,Inf,24
25.2,-79.2,2015-07-22,NA,-Inf,Inf,24
25.2,-79.2,2015-07-23,NA,-Inf,Inf,24
25.2,-79.2,2015-07-24,NA,-Inf,Inf,24
25.2,-79.2,2015-07-25,NA,-Inf,Inf,24
25.2,-79.2,2015-07-26,NA,-Inf,Inf,24
25.2,-79.2,2015-07-27,NA,-Inf,Inf,24
25.2,-79.2,2015-07-28,NA,-Inf,Inf,24
25.2,-79.2,2015-07-29,NA,-Inf,Inf,24
25.2,-79.2,2015-07-30,NA,-Inf,Inf,24
25.2,-79.2,2015-07-31,NA,-Inf,Inf,24
25.2,-79.1,2015-07-01,NA,-Inf,Inf,24
25.2,-79.1,2015-07-02,NA,-Inf,Inf,24
25.2,-79.1,2015-07-03,NA,-Inf,Inf,24
25.2,-79.1,2015-07-04,NA,-Inf,Inf,24
25.2,-79.1,2015-07-05,NA,-Inf,Inf,24
25.2,-79.1,2015-07-06,NA,-Inf,Inf,24
25.2,-79.1,2015-07-07,NA,-Inf,Inf,24
25.2,-79.1,2015-07-08,NA,-Inf,Inf,24
25.2,-79.1,2015-07-09,NA,-Inf,Inf,24
25.2,-79.1,2015-07-10,NA,-Inf,Inf,24
25.2,-79.1,2015-07-11,NA,-Inf,Inf,24
25.2,-79.1,2015-07-12,NA,-Inf,Inf,24
25.2,-79.1,2015-07-13,NA,-Inf,Inf,24
25.2,-79.1,2015-07-14,NA,-Inf,Inf,24
25.2,-79.1,2015-07-15,NA,-Inf,Inf,24
25.2,-79.1,2015-07-16,NA,-Inf,Inf,24
25.2,-79.1,2015-07-17,NA,-Inf,Inf,24
25.2,-79.1,2015-07-18,NA,-Inf,Inf,24
25.2,-79.1,2015-07-19,NA,-Inf,Inf,24
25.2,-79.1,2015-07-20,NA,-Inf,Inf,24
25.2,-79.1,2015-07-21,NA,-Inf,Inf,24
25.2,-79.1,2015-07-22,NA,-Inf,Inf,24
25.2,-79.1,2015-07-23,NA,-Inf,Inf,24
25.2,-79.1,2015-07-24,NA,-Inf,Inf,24
25.2,-79.1,2015-07-25,NA,-Inf,Inf,24
25.2,-79.1,2015-07-26,NA,-Inf,Inf,24
25.2,-79.1,2015-07-27,NA,-Inf,Inf,24
25.2,-79.1,2015-07-28,NA,-Inf,Inf,24
25.2,-79.1,2015-07-29,NA,-Inf,Inf,24
25.2,-79.1,2015-07-30,NA,-Inf,Inf,24
25.2,-79.1,2015-07-31,NA,-Inf,Inf,24
25.2,-79,2015-07-01,NA,-Inf,Inf,24
25.2,-79,2015-07-02,NA,-Inf,Inf,24
25.2,-79,2015-07-03,NA,-Inf,Inf,24
25.2,-79,2015-07-04,NA,-Inf,Inf,24
25.2,-79,2015-07-05,NA,-Inf,Inf,24
25.2,-79,2015-07-06,NA,-Inf,Inf,24
25.2,-79,2015-07-07,NA,-Inf,Inf,24
25.2,-79,2015-07-08,NA,-Inf,Inf,24
25.2,-79,2015-07-09,NA,-Inf,Inf,24
25.2,-79,2015-07-10,NA,-Inf,Inf,24
25.2,-79,2015-07-11,NA,-Inf,Inf,24
25.2,-79,2015-07-12,NA,-Inf,Inf,24
25.2,-79,2015-07-13,NA,-Inf,Inf,24
25.2,-79,2015-07-14,NA,-Inf,Inf,24
25.2,-79,2015-07-15,NA,-Inf,Inf,24
25.2,-79,2015-07-16,NA,-Inf,Inf,24
25.2,-79,2015-07-17,NA,-Inf,Inf,24
25.2,-79,2015-07-18,NA,-Inf,Inf,24
25.2,-79,2015-07-19,NA,-Inf,Inf,24
25.2,-79,2015-07-20,NA,-Inf,Inf,24
25.2,-79,2015-07-21,NA,-Inf,Inf,24
25.2,-79,2015-07-22,NA,-Inf,Inf,24
25.2,-79,2015-07-23,NA,-Inf,Inf,24
25.2,-79,2015-07-24,NA,-Inf,Inf,24
25.2,-79,2015-07-25,NA,-Inf,Inf,24
25.2,-79,2015-07-26,NA,-Inf,Inf,24
25.2,-79,2015-07-27,NA,-Inf,Inf,24
25.2,-79,2015-07-28,NA,-Inf,Inf,24
25.2,-79,2015-07-29,NA,-Inf,Inf,24
25.2,-79,2015-07-30,NA,-Inf,Inf,24
25.2,-79,2015-07-31,NA,-Inf,Inf,24
25.3,-82,2015-07-01,NA,-Inf,Inf,24
25.3,-82,2015-07-02,NA,-Inf,Inf,24
25.3,-82,2015-07-03,NA,-Inf,Inf,24
25.3,-82,2015-07-04,NA,-Inf,Inf,24
25.3,-82,2015-07-05,NA,-Inf,Inf,24
25.3,-82,2015-07-06,NA,-Inf,Inf,24
25.3,-82,2015-07-07,NA,-Inf,Inf,24
25.3,-82,2015-07-08,NA,-Inf,Inf,24
25.3,-82,2015-07-09,NA,-Inf,Inf,24
25.3,-82,2015-07-10,NA,-Inf,Inf,24
25.3,-82,2015-07-11,NA,-Inf,Inf,24
25.3,-82,2015-07-12,NA,-Inf,Inf,24
25.3,-82,2015-07-13,NA,-Inf,Inf,24
25.3,-82,2015-07-14,NA,-Inf,Inf,24
25.3,-82,2015-07-15,NA,-Inf,Inf,24
25.3,-82,2015-07-16,NA,-Inf,Inf,24
25.3,-82,2015-07-17,NA,-Inf,Inf,24
25.3,-82,2015-07-18,NA,-Inf,Inf,24
25.3,-82,2015-07-19,NA,-Inf,Inf,24
25.3,-82,2015-07-20,NA,-Inf,Inf,24
25.3,-82,2015-07-21,NA,-Inf,Inf,24
25.3,-82,2015-07-22,NA,-Inf,Inf,24
25.3,-82,2015-07-23,NA,-Inf,Inf,24
25.3,-82,2015-07-24,NA,-Inf,Inf,24
25.3,-82,2015-07-25,NA,-Inf,Inf,24
25.3,-82,2015-07-26,NA,-Inf,Inf,24
25.3,-82,2015-07-27,NA,-Inf,Inf,24
25.3,-82,2015-07-28,NA,-Inf,Inf,24
25.3,-82,2015-07-29,NA,-Inf,Inf,24
25.3,-82,2015-07-30,NA,-Inf,Inf,24
25.3,-82,2015-07-31,NA,-Inf,Inf,24
25.3,-81.9,2015-07-01,NA,-Inf,Inf,24
25.3,-81.9,2015-07-02,NA,-Inf,Inf,24
25.3,-81.9,2015-07-03,NA,-Inf,Inf,24
25.3,-81.9,2015-07-04,NA,-Inf,Inf,24
25.3,-81.9,2015-07-05,NA,-Inf,Inf,24
25.3,-81.9,2015-07-06,NA,-Inf,Inf,24
25.3,-81.9,2015-07-07,NA,-Inf,Inf,24
25.3,-81.9,2015-07-08,NA,-Inf,Inf,24
25.3,-81.9,2015-07-09,NA,-Inf,Inf,24
25.3,-81.9,2015-07-10,NA,-Inf,Inf,24
25.3,-81.9,2015-07-11,NA,-Inf,Inf,24
25.3,-81.9,2015-07-12,NA,-Inf,Inf,24
25.3,-81.9,2015-07-13,NA,-Inf,Inf,24
25.3,-81.9,2015-07-14,NA,-Inf,Inf,24
25.3,-81.9,2015-07-15,NA,-Inf,Inf,24
25.3,-81.9,2015-07-16,NA,-Inf,Inf,24
25.3,-81.9,2015-07-17,NA,-Inf,Inf,24
25.3,-81.9,2015-07-18,NA,-Inf,Inf,24
25.3,-81.9,2015-07-19,NA,-Inf,Inf,24
25.3,-81.9,2015-07-20,NA,-Inf,Inf,24
25.3,-81.9,2015-07-21,NA,-Inf,Inf,24
25.3,-81.9,2015-07-22,NA,-Inf,Inf,24
25.3,-81.9,2015-07-23,NA,-Inf,Inf,24
25.3,-81.9,2015-07-24,NA,-Inf,Inf,24
25.3,-81.9,2015-07-25,NA,-Inf,Inf,24
25.3,-81.9,2015-07-26,NA,-Inf,Inf,24
