"lat","lon","time","total"
25,-79.6,2015-07-02,-Inf
25,-79.6,2015-07-03,-Inf
25,-79.6,2015-07-04,-Inf
25,-79.6,2015-07-05,-Inf
25,-79.6,2015-07-06,-Inf
25,-79.6,2015-07-07,-Inf
25,-79.6,2015-07-08,-Inf
25,-79.6,2015-07-09,-Inf
25,-79.6,2015-07-10,-Inf
25,-79.6,2015-07-11,-Inf
25,-79.6,2015-07-12,-Inf
25,-79.6,2015-07-13,-Inf
25,-79.6,2015-07-14,-Inf
25,-79.6,2015-07-15,-Inf
25,-79.6,2015-07-16,-Inf
25,-79.6,2015-07-17,-Inf
25,-79.6,2015-07-18,-Inf
25,-79.6,2015-07-19,-Inf
25,-79.6,2015-07-20,-Inf
25,-79.6,2015-07-21,-Inf
25,-79.6,2015-07-22,-Inf
25,-79.6,2015-07-23,-Inf
25,-79.6,2015-07-24,-Inf
25,-79.6,2015-07-25,-Inf
25,-79.6,2015-07-26,-Inf
25,-79.6,2015-07-27,-Inf
25,-79.6,2015-07-28,-Inf
25,-79.6,2015-07-29,-Inf
25,-79.6,2015-07-30,-Inf
25,-79.6,2015-07-31,-Inf
25,-79.5,2015-07-01,-Inf
25,-79.5,2015-07-02,-Inf
25,-79.5,2015-07-03,-Inf
25,-79.5,2015-07-04,-Inf
25,-79.5,2015-07-05,-Inf
25,-79.5,2015-07-06,-Inf
25,-79.5,2015-07-07,-Inf
25,-79.5,2015-07-08,-Inf
25,-79.5,2015-07-09,-Inf
25,-79.5,2015-07-10,-Inf
25,-79.5,2015-07-11,-Inf
25,-79.5,2015-07-12,-Inf
25,-79.5,2015-07-13,-Inf
25,-79.5,2015-07-14,-Inf
25,-79.5,2015-07-15,-Inf
25,-79.5,2015-07-16,-Inf
25,-79.5,2015-07-17,-Inf
25,-79.5,2015-07-18,-Inf
25,-79.5,2015-07-19,-Inf
25,-79.5,2015-07-20,-Inf
25,-79.5,2015-07-21,-Inf
25,-79.5,2015-07-22,-Inf
25,-79.5,2015-07-23,-Inf
25,-79.5,2015-07-24,-Inf
25,-79.5,2015-07-25,-Inf
25,-79.5,2015-07-26,-Inf
25,-79.5,2015-07-27,-Inf
25,-79.5,2015-07-28,-Inf
25,-79.5,2015-07-29,-Inf
25,-79.5,2015-07-30,-Inf
25,-79.5,2015-07-31,-Inf
25,-79.4,2015-07-01,-Inf
25,-79.4,2015-07-02,-Inf
25,-79.4,2015-07-03,-Inf
25,-79.4,2015-07-04,-Inf
25,-79.4,2015-07-05,-Inf
25,-79.4,2015-07-06,-Inf
25,-79.4,2015-07-07,-Inf
25,-79.4,2015-07-08,-Inf
25,-79.4,2015-07-09,-Inf
25,-79.4,2015-07-10,-Inf
25,-79.4,2015-07-11,-Inf
25,-79.4,2015-07-12,-Inf
25,-79.4,2015-07-13,-Inf
25,-79.4,2015-07-14,-Inf
25,-79.4,2015-07-15,-Inf
25,-79.4,2015-07-16,-Inf
25,-79.4,2015-07-17,-Inf
25,-79.4,2015-07-18,-Inf
25,-79.4,2015-07-19,-Inf
25,-79.4,2015-07-20,-Inf
25,-79.4,2015-07-21,-Inf
25,-79.4,2015-07-22,-Inf
25,-79.4,2015-07-23,-Inf
25,-79.4,2015-07-24,-Inf
25,-79.4,2015-07-25,-Inf
25,-79.4,2015-07-26,-Inf
25,-79.4,2015-07-27,-Inf
25,-79.4,2015-07-28,-Inf
25,-79.4,2015-07-29,-Inf
25,-79.4,2015-07-30,-Inf
25,-79.4,2015-07-31,-Inf
25,-79.3,2015-07-01,-Inf
25,-79.3,2015-07-02,-Inf
25,-79.3,2015-07-03,-Inf
25,-79.3,2015-07-04,-Inf
25,-79.3,2015-07-05,-Inf
25,-79.3,2015-07-06,-Inf
25,-79.3,2015-07-07,-Inf
25,-79.3,2015-07-08,-Inf
25,-79.3,2015-07-09,-Inf
25,-79.3,2015-07-10,-Inf
25,-79.3,2015-07-11,-Inf
25,-79.3,2015-07-12,-Inf
25,-79.3,2015-07-13,-Inf
25,-79.3,2015-07-14,-Inf
25,-79.3,2015-07-15,-Inf
25,-79.3,2015-07-16,-Inf
25,-79.3,2015-07-17,-Inf
25,-79.3,2015-07-18,-Inf
25,-79.3,2015-07-19,-Inf
25,-79.3,2015-07-20,-Inf
25,-79.3,2015-07-21,-Inf
25,-79.3,2015-07-22,-Inf
25,-79.3,2015-07-23,-Inf
25,-79.3,2015-07-24,-Inf
25,-79.3,2015-07-25,-Inf
25,-79.3,2015-07-26,-Inf
25,-79.3,2015-07-27,-Inf
25,-79.3,2015-07-28,-Inf
25,-79.3,2015-07-29,-Inf
25,-79.3,2015-07-30,-Inf
25,-79.3,2015-07-31,-Inf
25,-79.2,2015-07-01,-Inf
25,-79.2,2015-07-02,-Inf
25,-79.2,2015-07-03,-Inf
25,-79.2,2015-07-04,-Inf
25,-79.2,2015-07-05,-Inf
25,-79.2,2015-07-06,-Inf
25,-79.2,2015-07-07,-Inf
25,-79.2,2015-07-08,-Inf
25,-79.2,2015-07-09,-Inf
25,-79.2,2015-07-10,-Inf
25,-79.2,2015-07-11,-Inf
25,-79.2,2015-07-12,-Inf
25,-79.2,2015-07-13,-Inf
25,-79.2,2015-07-14,-Inf
25,-79.2,2015-07-15,-Inf
25,-79.2,2015-07-16,-Inf
25,-79.2,2015-07-17,-Inf
25,-79.2,2015-07-18,-Inf
25,-79.2,2015-07-19,-Inf
25,-79.2,2015-07-20,-Inf
25,-79.2,2015-07-21,-Inf
25,-79.2,2015-07-22,-Inf
25,-79.2,2015-07-23,-Inf
25,-79.2,2015-07-24,-Inf
25,-79.2,2015-07-25,-Inf
25,-79.2,2015-07-26,-Inf
25,-79.2,2015-07-27,-Inf
25,-79.2,2015-07-28,-Inf
25,-79.2,2015-07-29,-Inf
25,-79.2,2015-07-30,-Inf
25,-79.2,2015-07-31,-Inf
25,-79.1,2015-07-01,-Inf
25,-79.1,2015-07-02,-Inf
25,-79.1,2015-07-03,-Inf
25,-79.1,2015-07-04,-Inf
25,-79.1,2015-07-05,-Inf
25,-79.1,2015-07-06,-Inf
25,-79.1,2015-07-07,-Inf
25,-79.1,2015-07-08,-Inf
25,-79.1,2015-07-09,-Inf
25,-79.1,2015-07-10,-Inf
25,-79.1,2015-07-11,-Inf
25,-79.1,2015-07-12,-Inf
25,-79.1,2015-07-13,-Inf
25,-79.1,2015-07-14,-Inf
25,-79.1,2015-07-15,-Inf
25,-79.1,2015-07-16,-Inf
25,-79.1,2015-07-17,-Inf
25,-79.1,2015-07-18,-Inf
25,-79.1,2015-07-19,-Inf
25,-79.1,2015-07-20,-Inf
25,-79.1,2015-07-21,-Inf
25,-79.1,2015-07-22,-Inf
25,-79.1,2015-07-23,-Inf
25,-79.1,2015-07-24,-Inf
25,-79.1,2015-07-25,-Inf
25,-79.1,2015-07-26,-Inf
25,-79.1,2015-07-27,-Inf
25,-79.1,2015-07-28,-Inf
25,-79.1,2015-07-29,-Inf
25,-79.1,2015-07-30,-Inf
25,-79.1,2015-07-31,-Inf
25,-79,2015-07-01,-Inf
25,-79,2015-07-02,-Inf
25,-79,2015-07-03,-Inf
25,-79,2015-07-04,-Inf
25,-79,2015-07-05,-Inf
25,-79,2015-07-06,-Inf
25,-79,2015-07-07,-Inf
25,-79,2015-07-08,-Inf
25,-79,2015-07-09,-Inf
25,-79,2015-07-10,-Inf
25,-79,2015-07-11,-Inf
25,-79,2015-07-12,-Inf
25,-79,2015-07-13,-Inf
25,-79,2015-07-14,-Inf
25,-79,2015-07-15,-Inf
25,-79,2015-07-16,-Inf
25,-79,2015-07-17,-Inf
25,-79,2015-07-18,-Inf
25,-79,2015-07-19,-Inf
25,-79,2015-07-20,-Inf
25,-79,2015-07-21,-Inf
25,-79,2015-07-22,-Inf
25,-79,2015-07-23,-Inf
25,-79,2015-07-24,-Inf
25,-79,2015-07-25,-Inf
25,-79,2015-07-26,-Inf
25,-79,2015-07-27,-Inf
25,-79,2015-07-28,-Inf
25,-79,2015-07-29,-Inf
25,-79,2015-07-30,-Inf
25,-79,2015-07-31,-Inf
25.1,-82,2015-07-01,-Inf
25.1,-82,2015-07-02,-Inf
25.1,-82,2015-07-03,-Inf
25.1,-82,2015-07-04,-Inf
25.1,-82,2015-07-05,-Inf
25.1,-82,2015-07-06,-Inf
25.1,-82,2015-07-07,-Inf
25.1,-82,2015-07-08,-Inf
25.1,-82,2015-07-09,-Inf
25.1,-82,2015-07-10,-Inf
25.1,-82,2015-07-11,-Inf
25.1,-82,2015-07-12,-Inf
25.1,-82,2015-07-13,-Inf
25.1,-82,2015-07-14,-Inf
25.1,-82,2015-07-15,-Inf
25.1,-82,2015-07-16,-Inf
25.1,-82,2015-07-17,-Inf
25.1,-82,2015-07-18,-Inf
25.1,-82,2015-07-19,-Inf
25.1,-82,2015-07-20,-Inf
25.1,-82,2015-07-21,-Inf
25.1,-82,2015-07-22,-Inf
25.1,-82,2015-07-23,-Inf
25.1,-82,2015-07-24,-Inf
25.1,-82,2015-07-25,-Inf
25.1,-82,2015-07-26,-Inf
25.1,-82,2015-07-27,-Inf
25.1,-82,2015-07-28,-Inf
25.1,-82,2015-07-29,-Inf
25.1,-82,2015-07-30,-Inf
25.1,-82,2015-07-31,-Inf
25.1,-81.9,2015-07-01,-Inf
25.1,-81.9,2015-07-02,-Inf
25.1,-81.9,2015-07-03,-Inf
25.1,-81.9,2015-07-04,-Inf
25.1,-81.9,2015-07-05,-Inf
25.1,-81.9,2015-07-06,-Inf
25.1,-81.9,2015-07-07,-Inf
25.1,-81.9,2015-07-08,-Inf
25.1,-81.9,2015-07-09,-Inf
25.1,-81.9,2015-07-10,-Inf
25.1,-81.9,2015-07-11,-Inf
25.1,-81.9,2015-07-12,-Inf
25.1,-81.9,2015-07-13,-Inf
25.1,-81.9,2015-07-14,-Inf
25.1,-81.9,2015-07-15,-Inf
25.1,-81.9,2015-07-16,-Inf
25.1,-81.9,2015-07-17,-Inf
25.1,-81.9,2015-07-18,-Inf
25.1,-81.9,2015-07-19,-Inf
25.1,-81.9,2015-07-20,-Inf
25.1,-81.9,2015-07-21,-Inf
25.1,-81.9,2015-07-22,-Inf
25.1,-81.9,2015-07-23,-Inf
25.1,-81.9,2015-07-24,-Inf
25.1,-81.9,2015-07-25,-Inf
25.1,-81.9,2015-07-26,-Inf
25.1,-81.9,2015-07-27,-Inf
25.1,-81.9,2015-07-28,-Inf
25.1,-81.9,2015-07-29,-Inf
25.1,-81.9,2015-07-30,-Inf
25.1,-81.9,2015-07-31,-Inf
25.1,-81.8,2015-07-01,-Inf
25.1,-81.8,2015-07-02,-Inf
25.1,-81.8,2015-07-03,-Inf
25.1,-81.8,2015-07-04,-Inf
25.1,-81.8,2015-07-05,-Inf
25.1,-81.8,2015-07-06,-Inf
25.1,-81.8,2015-07-07,-Inf
25.1,-81.8,2015-07-08,-Inf
25.1,-81.8,2015-07-09,-Inf
25.1,-81.8,2015-07-10,-Inf
25.1,-81.8,2015-07-11,-Inf
25.1,-81.8,2015-07-12,-Inf
25.1,-81.8,2015-07-13,-Inf
25.1,-81.8,2015-07-14,-Inf
25.1,-81.8,2015-07-15,-Inf
25.1,-81.8,2015-07-16,-Inf
25.1,-81.8,2015-07-17,-Inf
25.1,-81.8,2015-07-18,-Inf
25.1,-81.8,2015-07-19,-Inf
25.1,-81.8,2015-07-20,-Inf
25.1,-81.8,2015-07-21,-Inf
25.1,-81.8,2015-07-22,-Inf
25.1,-81.8,2015-07-23,-Inf
25.1,-81.8,2015-07-24,-Inf
25.1,-81.8,2015-07-25,-Inf
25.1,-81.8,2015-07-26,-Inf
25.1,-81.8,2015-07-27,-Inf
25.1,-81.8,2015-07-28,-Inf
25.1,-81.8,2015-07-29,-Inf
25.1,-81.8,2015-07-30,-Inf
25.1,-81.8,2015-07-31,-Inf
25.1,-81.7,2015-07-01,-Inf
25.1,-81.7,2015-07-02,-Inf
25.1,-81.7,2015-07-03,-Inf
25.1,-81.7,2015-07-04,-Inf
25.1,-81.7,2015-07-05,-Inf
25.1,-81.7,2015-07-06,-Inf
25.1,-81.7,2015-07-07,-Inf
25.1,-81.7,2015-07-08,-Inf
25.1,-81.7,2015-07-09,-Inf
25.1,-81.7,2015-07-10,-Inf
25.1,-81.7,2015-07-11,-Inf
25.1,-81.7,2015-07-12,-Inf
25.1,-81.7,2015-07-13,-Inf
25.1,-81.7,2015-07-14,-Inf
25.1,-81.7,2015-07-15,-Inf
25.1,-81.7,2015-07-16,-Inf
25.1,-81.7,2015-07-17,-Inf
25.1,-81.7,2015-07-18,-Inf
25.1,-81.7,2015-07-19,-Inf
25.1,-81.7,2015-07-20,-Inf
25.1,-81.7,2015-07-21,-Inf
25.1,-81.7,2015-07-22,-Inf
25.1,-81.7,2015-07-23,-Inf
25.1,-81.7,2015-07-24,-Inf
25.1,-81.7,2015-07-25,-Inf
25.1,-81.7,2015-07-26,-Inf
25.1,-81.7,2015-07-27,-Inf
25.1,-81.7,2015-07-28,-Inf
25.1,-81.7,2015-07-29,-Inf
25.1,-81.7,2015-07-30,-Inf
25.1,-81.7,2015-07-31,-Inf
25.1,-81.6,2015-07-01,-Inf
25.1,-81.6,2015-07-02,-Inf
25.1,-81.6,2015-07-03,-Inf
25.1,-81.6,2015-07-04,-Inf
25.1,-81.6,2015-07-05,-Inf
25.1,-81.6,2015-07-06,-Inf
25.1,-81.6,2015-07-07,-Inf
25.1,-81.6,2015-07-08,-Inf
25.1,-81.6,2015-07-09,-Inf
25.1,-81.6,2015-07-10,-Inf
25.1,-81.6,2015-07-11,-Inf
25.1,-81.6,2015-07-12,-Inf
25.1,-81.6,2015-07-13,-Inf
25.1,-81.6,2015-07-14,-Inf
25.1,-81.6,2015-07-15,-Inf
25.1,-81.6,2015-07-16,-Inf
25.1,-81.6,2015-07-17,-Inf
25.1,-81.6,2015-07-18,-Inf
25.1,-81.6,2015-07-19,-Inf
25.1,-81.6,2015-07-20,-Inf
25.1,-81.6,2015-07-21,-Inf
25.1,-81.6,2015-07-22,-Inf
25.1,-81.6,2015-07-23,-Inf
25.1,-81.6,2015-07-24,-Inf
25.1,-81.6,2015-07-25,-Inf
25.1,-81.6,2015-07-26,-Inf
25.1,-81.6,2015-07-27,-Inf
25.1,-81.6,2015-07-28,-Inf
25.1,-81.6,2015-07-29,-Inf
25.1,-81.6,2015-07-30,-Inf
25.1,-81.6,2015-07-31,-Inf
25.1,-81.5,2015-07-01,-Inf
25.1,-81.5,2015-07-02,-Inf
25.1,-81.5,2015-07-03,-Inf
25.1,-81.5,2015-07-04,-Inf
25.1,-81.5,2015-07-05,-Inf
25.1,-81.5,2015-07-06,-Inf
25.1,-81.5,2015-07-07,-Inf
25.1,-81.5,2015-07-08,-Inf
25.1,-81.5,2015-07-09,-Inf
25.1,-81.5,2015-07-10,-Inf
25.1,-81.5,2015-07-11,-Inf
25.1,-81.5,2015-07-12,-Inf
25.1,-81.5,2015-07-13,-Inf
25.1,-81.5,2015-07-14,-Inf
25.1,-81.5,2015-07-15,-Inf
25.1,-81.5,2015-07-16,-Inf
25.1,-81.5,2015-07-17,-Inf
25.1,-81.5,2015-07-18,-Inf
25.1,-81.5,2015-07-19,-Inf
25.1,-81.5,2015-07-20,-Inf
25.1,-81.5,2015-07-21,-Inf
25.1,-81.5,2015-07-22,-Inf
25.1,-81.5,2015-07-23,-Inf
25.1,-81.5,2015-07-24,-Inf
25.1,-81.5,2015-07-25,-Inf
25.1,-81.5,2015-07-26,-Inf
25.1,-81.5,2015-07-27,-Inf
25.1,-81.5,2015-07-28,-Inf
25.1,-81.5,2015-07-29,-Inf
25.1,-81.5,2015-07-30,-Inf
25.1,-81.5,2015-07-31,-Inf
25.1,-81.4,2015-07-01,-Inf
25.1,-81.4,2015-07-02,-Inf
25.1,-81.4,2015-07-03,-Inf
25.1,-81.4,2015-07-04,-Inf
25.1,-81.4,2015-07-05,-Inf
25.1,-81.4,2015-07-06,-Inf
25.1,-81.4,2015-07-07,-Inf
25.1,-81.4,2015-07-08,-Inf
25.1,-81.4,2015-07-09,-Inf
25.1,-81.4,2015-07-10,-Inf
25.1,-81.4,2015-07-11,-Inf
25.1,-81.4,2015-07-12,-Inf
25.1,-81.4,2015-07-13,-Inf
25.1,-81.4,2015-07-14,-Inf
25.1,-81.4,2015-07-15,-Inf
25.1,-81.4,2015-07-16,-Inf
25.1,-81.4,2015-07-17,-Inf
25.1,-81.4,2015-07-18,-Inf
25.1,-81.4,2015-07-19,-Inf
25.1,-81.4,2015-07-20,-Inf
25.1,-81.4,2015-07-21,-Inf
25.1,-81.4,2015-07-22,-Inf
25.1,-81.4,2015-07-23,-Inf
25.1,-81.4,2015-07-24,-Inf
25.1,-81.4,2015-07-25,-Inf
25.1,-81.4,2015-07-26,-Inf
25.1,-81.4,2015-07-27,-Inf
25.1,-81.4,2015-07-28,-Inf
25.1,-81.4,2015-07-29,-Inf
25.1,-81.4,2015-07-30,-Inf
25.1,-81.4,2015-07-31,-Inf
25.1,-81.3,2015-07-01,-Inf
25.1,-81.3,2015-07-02,-Inf
25.1,-81.3,2015-07-03,-Inf
25.1,-81.3,2015-07-04,-Inf
25.1,-81.3,2015-07-05,-Inf
25.1,-81.3,2015-07-06,-Inf
25.1,-81.3,2015-07-07,-Inf
25.1,-81.3,2015-07-08,-Inf
25.1,-81.3,2015-07-09,-Inf
25.1,-81.3,2015-07-10,-Inf
25.1,-81.3,2015-07-11,-Inf
25.1,-81.3,2015-07-12,-Inf
25.1,-81.3,2015-07-13,-Inf
25.1,-81.3,2015-07-14,-Inf
25.1,-81.3,2015-07-15,-Inf
25.1,-81.3,2015-07-16,-Inf
25.1,-81.3,2015-07-17,-Inf
25.1,-81.3,2015-07-18,-Inf
25.1,-81.3,2015-07-19,-Inf
25.1,-81.3,2015-07-20,-Inf
25.1,-81.3,2015-07-21,-Inf
25.1,-81.3,2015-07-22,-Inf
25.1,-81.3,2015-07-23,-Inf
25.1,-81.3,2015-07-24,-Inf
25.1,-81.3,2015-07-25,-Inf
25.1,-81.3,2015-07-26,-Inf
25.1,-81.3,2015-07-27,-Inf
25.1,-81.3,2015-07-28,-Inf
25.1,-81.3,2015-07-29,-Inf
25.1,-81.3,2015-07-30,-Inf
25.1,-81.3,2015-07-31,-Inf
25.1,-81.2,2015-07-01,-Inf
25.1,-81.2,2015-07-02,-Inf
25.1,-81.2,2015-07-03,-Inf
25.1,-81.2,2015-07-04,-Inf
25.1,-81.2,2015-07-05,-Inf
25.1,-81.2,2015-07-06,-Inf
25.1,-81.2,2015-07-07,-Inf
25.1,-81.2,2015-07-08,-Inf
25.1,-81.2,2015-07-09,-Inf
25.1,-81.2,2015-07-10,-Inf
25.1,-81.2,2015-07-11,-Inf
25.1,-81.2,2015-07-12,-Inf
25.1,-81.2,2015-07-13,-Inf
25.1,-81.2,2015-07-14,-Inf
25.1,-81.2,2015-07-15,-Inf
25.1,-81.2,2015-07-16,-Inf
25.1,-81.2,2015-07-17,-Inf
25.1,-81.2,2015-07-18,-Inf
25.1,-81.2,2015-07-19,-Inf
25.1,-81.2,2015-07-20,-Inf
25.1,-81.2,2015-07-21,-Inf
25.1,-81.2,2015-07-22,-Inf
25.1,-81.2,2015-07-23,-Inf
25.1,-81.2,2015-07-24,-Inf
25.1,-81.2,2015-07-25,-Inf
25.1,-81.2,2015-07-26,-Inf
25.1,-81.2,2015-07-27,-Inf
25.1,-81.2,2015-07-28,-Inf
25.1,-81.2,2015-07-29,-Inf
25.1,-81.2,2015-07-30,-Inf
25.1,-81.2,2015-07-31,-Inf
25.1,-81.1,2015-07-01,-Inf
25.1,-81.1,2015-07-02,-Inf
25.1,-81.1,2015-07-03,-Inf
25.1,-81.1,2015-07-04,-Inf
25.1,-81.1,2015-07-05,-Inf
25.1,-81.1,2015-07-06,-Inf
25.1,-81.1,2015-07-07,-Inf
25.1,-81.1,2015-07-08,-Inf
25.1,-81.1,2015-07-09,-Inf
25.1,-81.1,2015-07-10,-Inf
25.1,-81.1,2015-07-11,-Inf
25.1,-81.1,2015-07-12,-Inf
25.1,-81.1,2015-07-13,-Inf
25.1,-81.1,2015-07-14,-Inf
25.1,-81.1,2015-07-15,-Inf
25.1,-81.1,2015-07-16,-Inf
25.1,-81.1,2015-07-17,-Inf
25.1,-81.1,2015-07-18,-Inf
25.1,-81.1,2015-07-19,-Inf
25.1,-81.1,2015-07-20,-Inf
25.1,-81.1,2015-07-21,-Inf
25.1,-81.1,2015-07-22,-Inf
25.1,-81.1,2015-07-23,-Inf
25.1,-81.1,2015-07-24,-Inf
25.1,-81.1,2015-07-25,-Inf
25.1,-81.1,2015-07-26,-Inf
25.1,-81.1,2015-07-27,-Inf
25.1,-81.1,2015-07-28,-Inf
25.1,-81.1,2015-07-29,-Inf
25.1,-81.1,2015-07-30,-Inf
25.1,-81.1,2015-07-31,-Inf
25.1,-81,2015-07-01,-Inf
25.1,-81,2015-07-02,-Inf
25.1,-81,2015-07-03,-Inf
25.1,-81,2015-07-04,-Inf
25.1,-81,2015-07-05,-Inf
25.1,-81,2015-07-06,-Inf
25.1,-81,2015-07-07,-Inf
25.1,-81,2015-07-08,-Inf
25.1,-81,2015-07-09,-Inf
25.1,-81,2015-07-10,-Inf
25.1,-81,2015-07-11,-Inf
25.1,-81,2015-07-12,-Inf
25.1,-81,2015-07-13,-Inf
25.1,-81,2015-07-14,-Inf
25.1,-81,2015-07-15,-Inf
25.1,-81,2015-07-16,-Inf
25.1,-81,2015-07-17,-Inf
25.1,-81,2015-07-18,-Inf
25.1,-81,2015-07-19,-Inf
25.1,-81,2015-07-20,-Inf
25.1,-81,2015-07-21,-Inf
25.1,-81,2015-07-22,-Inf
25.1,-81,2015-07-23,-Inf
25.1,-81,2015-07-24,-Inf
25.1,-81,2015-07-25,-Inf
25.1,-81,2015-07-26,-Inf
25.1,-81,2015-07-27,-Inf
25.1,-81,2015-07-28,-Inf
25.1,-81,2015-07-29,-Inf
25.1,-81,2015-07-30,-Inf
25.1,-81,2015-07-31,-Inf
25.1,-80.9,2015-07-01,-Inf
25.1,-80.9,2015-07-02,-Inf
25.1,-80.9,2015-07-03,-Inf
25.1,-80.9,2015-07-04,-Inf
25.1,-80.9,2015-07-05,-Inf
25.1,-80.9,2015-07-06,-Inf
25.1,-80.9,2015-07-07,-Inf
25.1,-80.9,2015-07-08,-Inf
25.1,-80.9,2015-07-09,-Inf
25.1,-80.9,2015-07-10,-Inf
25.1,-80.9,2015-07-11,-Inf
25.1,-80.9,2015-07-12,-Inf
25.1,-80.9,2015-07-13,-Inf
25.1,-80.9,2015-07-14,-Inf
25.1,-80.9,2015-07-15,-Inf
25.1,-80.9,2015-07-16,-Inf
25.1,-80.9,2015-07-17,-Inf
25.1,-80.9,2015-07-18,-Inf
25.1,-80.9,2015-07-19,-Inf
25.1,-80.9,2015-07-20,-Inf
25.1,-80.9,2015-07-21,-Inf
25.1,-80.9,2015-07-22,-Inf
25.1,-80.9,2015-07-23,-Inf
25.1,-80.9,2015-07-24,-Inf
25.1,-80.9,2015-07-25,-Inf
25.1,-80.9,2015-07-26,-Inf
25.1,-80.9,2015-07-27,-Inf
25.1,-80.9,2015-07-28,-Inf
25.1,-80.9,2015-07-29,-Inf
25.1,-80.9,2015-07-30,-Inf
25.1,-80.9,2015-07-31,-Inf
25.1,-80.8,2015-07-01,-Inf
25.1,-80.8,2015-07-02,-Inf
25.1,-80.8,2015-07-03,-Inf
25.1,-80.8,2015-07-04,-Inf
25.1,-80.8,2015-07-05,-Inf
25.1,-80.8,2015-07-06,-Inf
25.1,-80.8,2015-07-07,-Inf
25.1,-80.8,2015-07-08,-Inf
25.1,-80.8,2015-07-09,-Inf
25.1,-80.8,2015-07-10,-Inf
25.1,-80.8,2015-07-11,-Inf
25.1,-80.8,2015-07-12,-Inf
25.1,-80.8,2015-07-13,-Inf
25.1,-80.8,2015-07-14,-Inf
25.1,-80.8,2015-07-15,-Inf
25.1,-80.8,2015-07-16,-Inf
25.1,-80.8,2015-07-17,-Inf
25.1,-80.8,2015-07-18,-Inf
25.1,-80.8,2015-07-19,-Inf
25.1,-80.8,2015-07-20,-Inf
25.1,-80.8,2015-07-21,-Inf
25.1,-80.8,2015-07-22,-Inf
25.1,-80.8,2015-07-23,-Inf
25.1,-80.8,2015-07-24,-Inf
25.1,-80.8,2015-07-25,-Inf
25.1,-80.8,2015-07-26,-Inf
25.1,-80.8,2015-07-27,-Inf
25.1,-80.8,2015-07-28,-Inf
25.1,-80.8,2015-07-29,-Inf
25.1,-80.8,2015-07-30,-Inf
25.1,-80.8,2015-07-31,-Inf
25.1,-80.7,2015-07-01,-Inf
25.1,-80.7,2015-07-02,-Inf
25.1,-80.7,2015-07-03,-Inf
25.1,-80.7,2015-07-04,-Inf
25.1,-80.7,2015-07-05,-Inf
25.1,-80.7,2015-07-06,-Inf
25.1,-80.7,2015-07-07,-Inf
25.1,-80.7,2015-07-08,-Inf
25.1,-80.7,2015-07-09,-Inf
25.1,-80.7,2015-07-10,-Inf
25.1,-80.7,2015-07-11,-Inf
25.1,-80.7,2015-07-12,-Inf
25.1,-80.7,2015-07-13,-Inf
25.1,-80.7,2015-07-14,-Inf
25.1,-80.7,2015-07-15,-Inf
25.1,-80.7,2015-07-16,-Inf
25.1,-80.7,2015-07-17,-Inf
25.1,-80.7,2015-07-18,-Inf
25.1,-80.7,2015-07-19,-Inf
25.1,-80.7,2015-07-20,-Inf
25.1,-80.7,2015-07-21,-Inf
25.1,-80.7,2015-07-22,-Inf
25.1,-80.7,2015-07-23,-Inf
25.1,-80.7,2015-07-24,-Inf
25.1,-80.7,2015-07-25,-Inf
25.1,-80.7,2015-07-26,-Inf
25.1,-80.7,2015-07-27,-Inf
25.1,-80.7,2015-07-28,-Inf
25.1,-80.7,2015-07-29,-Inf
25.1,-80.7,2015-07-30,-Inf
25.1,-80.7,2015-07-31,-Inf
25.1,-80.6,2015-07-01,-Inf
25.1,-80.6,2015-07-02,-Inf
25.1,-80.6,2015-07-03,-Inf
25.1,-80.6,2015-07-04,-Inf
25.1,-80.6,2015-07-05,-Inf
25.1,-80.6,2015-07-06,-Inf
25.1,-80.6,2015-07-07,-Inf
25.1,-80.6,2015-07-08,-Inf
25.1,-80.6,2015-07-09,-Inf
25.1,-80.6,2015-07-10,-Inf
25.1,-80.6,2015-07-11,-Inf
25.1,-80.6,2015-07-12,-Inf
25.1,-80.6,2015-07-13,-Inf
25.1,-80.6,2015-07-14,-Inf
25.1,-80.6,2015-07-15,-Inf
25.1,-80.6,2015-07-16,-Inf
25.1,-80.6,2015-07-17,-Inf
25.1,-80.6,2015-07-18,-Inf
25.1,-80.6,2015-07-19,-Inf
25.1,-80.6,2015-07-20,-Inf
25.1,-80.6,2015-07-21,-Inf
25.1,-80.6,2015-07-22,-Inf
25.1,-80.6,2015-07-23,-Inf
25.1,-80.6,2015-07-24,-Inf
25.1,-80.6,2015-07-25,-Inf
25.1,-80.6,2015-07-26,-Inf
25.1,-80.6,2015-07-27,-Inf
25.1,-80.6,2015-07-28,-Inf
25.1,-80.6,2015-07-29,-Inf
25.1,-80.6,2015-07-30,-Inf
25.1,-80.6,2015-07-31,-Inf
25.1,-80.5,2015-07-01,-Inf
25.1,-80.5,2015-07-02,-Inf
25.1,-80.5,2015-07-03,-Inf
25.1,-80.5,2015-07-04,-Inf
25.1,-80.5,2015-07-05,-Inf
25.1,-80.5,2015-07-06,-Inf
25.1,-80.5,2015-07-07,-Inf
25.1,-80.5,2015-07-08,-Inf
25.1,-80.5,2015-07-09,-Inf
25.1,-80.5,2015-07-10,-Inf
25.1,-80.5,2015-07-11,-Inf
25.1,-80.5,2015-07-12,-Inf
25.1,-80.5,2015-07-13,-Inf
25.1,-80.5,2015-07-14,-Inf
