"lat","lon","time","total"
25,-79.6,2015-08-02,-Inf
25,-79.6,2015-08-03,-Inf
25,-79.6,2015-08-04,-Inf
25,-79.6,2015-08-05,-Inf
25,-79.6,2015-08-06,-Inf
25,-79.6,2015-08-07,-Inf
25,-79.6,2015-08-08,-Inf
25,-79.6,2015-08-09,-Inf
25,-79.6,2015-08-10,-Inf
25,-79.6,2015-08-11,-Inf
25,-79.6,2015-08-12,-Inf
25,-79.6,2015-08-13,-Inf
25,-79.6,2015-08-14,-Inf
25,-79.6,2015-08-15,-Inf
25,-79.6,2015-08-16,-Inf
25,-79.6,2015-08-17,-Inf
25,-79.6,2015-08-18,-Inf
25,-79.6,2015-08-19,-Inf
25,-79.6,2015-08-20,-Inf
25,-79.6,2015-08-21,-Inf
25,-79.6,2015-08-22,-Inf
25,-79.6,2015-08-23,-Inf
25,-79.6,2015-08-24,-Inf
25,-79.6,2015-08-25,-Inf
25,-79.6,2015-08-26,-Inf
25,-79.6,2015-08-27,-Inf
25,-79.6,2015-08-28,-Inf
25,-79.6,2015-08-29,-Inf
25,-79.6,2015-08-30,-Inf
25,-79.6,2015-08-31,-Inf
25,-79.5,2015-08-01,-Inf
25,-79.5,2015-08-02,-Inf
25,-79.5,2015-08-03,-Inf
25,-79.5,2015-08-04,-Inf
25,-79.5,2015-08-05,-Inf
25,-79.5,2015-08-06,-Inf
25,-79.5,2015-08-07,-Inf
25,-79.5,2015-08-08,-Inf
25,-79.5,2015-08-09,-Inf
25,-79.5,2015-08-10,-Inf
25,-79.5,2015-08-11,-Inf
25,-79.5,2015-08-12,-Inf
25,-79.5,2015-08-13,-Inf
25,-79.5,2015-08-14,-Inf
25,-79.5,2015-08-15,-Inf
25,-79.5,2015-08-16,-Inf
25,-79.5,2015-08-17,-Inf
25,-79.5,2015-08-18,-Inf
25,-79.5,2015-08-19,-Inf
25,-79.5,2015-08-20,-Inf
25,-79.5,2015-08-21,-Inf
25,-79.5,2015-08-22,-Inf
25,-79.5,2015-08-23,-Inf
25,-79.5,2015-08-24,-Inf
25,-79.5,2015-08-25,-Inf
25,-79.5,2015-08-26,-Inf
25,-79.5,2015-08-27,-Inf
25,-79.5,2015-08-28,-Inf
25,-79.5,2015-08-29,-Inf
25,-79.5,2015-08-30,-Inf
25,-79.5,2015-08-31,-Inf
25,-79.4,2015-08-01,-Inf
25,-79.4,2015-08-02,-Inf
25,-79.4,2015-08-03,-Inf
25,-79.4,2015-08-04,-Inf
25,-79.4,2015-08-05,-Inf
25,-79.4,2015-08-06,-Inf
25,-79.4,2015-08-07,-Inf
25,-79.4,2015-08-08,-Inf
25,-79.4,2015-08-09,-Inf
25,-79.4,2015-08-10,-Inf
25,-79.4,2015-08-11,-Inf
25,-79.4,2015-08-12,-Inf
25,-79.4,2015-08-13,-Inf
25,-79.4,2015-08-14,-Inf
25,-79.4,2015-08-15,-Inf
25,-79.4,2015-08-16,-Inf
25,-79.4,2015-08-17,-Inf
25,-79.4,2015-08-18,-Inf
25,-79.4,2015-08-19,-Inf
25,-79.4,2015-08-20,-Inf
25,-79.4,2015-08-21,-Inf
25,-79.4,2015-08-22,-Inf
25,-79.4,2015-08-23,-Inf
25,-79.4,2015-08-24,-Inf
25,-79.4,2015-08-25,-Inf
25,-79.4,2015-08-26,-Inf
25,-79.4,2015-08-27,-Inf
25,-79.4,2015-08-28,-Inf
25,-79.4,2015-08-29,-Inf
25,-79.4,2015-08-30,-Inf
25,-79.4,2015-08-31,-Inf
25,-79.3,2015-08-01,-Inf
25,-79.3,2015-08-02,-Inf
25,-79.3,2015-08-03,-Inf
25,-79.3,2015-08-04,-Inf
25,-79.3,2015-08-05,-Inf
25,-79.3,2015-08-06,-Inf
25,-79.3,2015-08-07,-Inf
25,-79.3,2015-08-08,-Inf
25,-79.3,2015-08-09,-Inf
25,-79.3,2015-08-10,-Inf
25,-79.3,2015-08-11,-Inf
25,-79.3,2015-08-12,-Inf
25,-79.3,2015-08-13,-Inf
25,-79.3,2015-08-14,-Inf
25,-79.3,2015-08-15,-Inf
25,-79.3,2015-08-16,-Inf
25,-79.3,2015-08-17,-Inf
25,-79.3,2015-08-18,-Inf
25,-79.3,2015-08-19,-Inf
25,-79.3,2015-08-20,-Inf
25,-79.3,2015-08-21,-Inf
25,-79.3,2015-08-22,-Inf
25,-79.3,2015-08-23,-Inf
25,-79.3,2015-08-24,-Inf
25,-79.3,2015-08-25,-Inf
25,-79.3,2015-08-26,-Inf
25,-79.3,2015-08-27,-Inf
25,-79.3,2015-08-28,-Inf
25,-79.3,2015-08-29,-Inf
25,-79.3,2015-08-30,-Inf
25,-79.3,2015-08-31,-Inf
25,-79.2,2015-08-01,-Inf
25,-79.2,2015-08-02,-Inf
25,-79.2,2015-08-03,-Inf
25,-79.2,2015-08-04,-Inf
25,-79.2,2015-08-05,-Inf
25,-79.2,2015-08-06,-Inf
25,-79.2,2015-08-07,-Inf
25,-79.2,2015-08-08,-Inf
25,-79.2,2015-08-09,-Inf
25,-79.2,2015-08-10,-Inf
25,-79.2,2015-08-11,-Inf
25,-79.2,2015-08-12,-Inf
25,-79.2,2015-08-13,-Inf
25,-79.2,2015-08-14,-Inf
25,-79.2,2015-08-15,-Inf
25,-79.2,2015-08-16,-Inf
25,-79.2,2015-08-17,-Inf
25,-79.2,2015-08-18,-Inf
25,-79.2,2015-08-19,-Inf
25,-79.2,2015-08-20,-Inf
25,-79.2,2015-08-21,-Inf
25,-79.2,2015-08-22,-Inf
25,-79.2,2015-08-23,-Inf
25,-79.2,2015-08-24,-Inf
25,-79.2,2015-08-25,-Inf
25,-79.2,2015-08-26,-Inf
25,-79.2,2015-08-27,-Inf
25,-79.2,2015-08-28,-Inf
25,-79.2,2015-08-29,-Inf
25,-79.2,2015-08-30,-Inf
25,-79.2,2015-08-31,-Inf
25,-79.1,2015-08-01,-Inf
25,-79.1,2015-08-02,-Inf
25,-79.1,2015-08-03,-Inf
25,-79.1,2015-08-04,-Inf
25,-79.1,2015-08-05,-Inf
25,-79.1,2015-08-06,-Inf
25,-79.1,2015-08-07,-Inf
25,-79.1,2015-08-08,-Inf
25,-79.1,2015-08-09,-Inf
25,-79.1,2015-08-10,-Inf
25,-79.1,2015-08-11,-Inf
25,-79.1,2015-08-12,-Inf
25,-79.1,2015-08-13,-Inf
25,-79.1,2015-08-14,-Inf
25,-79.1,2015-08-15,-Inf
25,-79.1,2015-08-16,-Inf
25,-79.1,2015-08-17,-Inf
25,-79.1,2015-08-18,-Inf
25,-79.1,2015-08-19,-Inf
25,-79.1,2015-08-20,-Inf
25,-79.1,2015-08-21,-Inf
25,-79.1,2015-08-22,-Inf
25,-79.1,2015-08-23,-Inf
25,-79.1,2015-08-24,-Inf
25,-79.1,2015-08-25,-Inf
25,-79.1,2015-08-26,-Inf
25,-79.1,2015-08-27,-Inf
25,-79.1,2015-08-28,-Inf
25,-79.1,2015-08-29,-Inf
25,-79.1,2015-08-30,-Inf
25,-79.1,2015-08-31,-Inf
25,-79,2015-08-01,-Inf
25,-79,2015-08-02,-Inf
25,-79,2015-08-03,-Inf
25,-79,2015-08-04,-Inf
25,-79,2015-08-05,-Inf
25,-79,2015-08-06,-Inf
25,-79,2015-08-07,-Inf
25,-79,2015-08-08,-Inf
25,-79,2015-08-09,-Inf
25,-79,2015-08-10,-Inf
25,-79,2015-08-11,-Inf
25,-79,2015-08-12,-Inf
25,-79,2015-08-13,-Inf
25,-79,2015-08-14,-Inf
25,-79,2015-08-15,-Inf
25,-79,2015-08-16,-Inf
25,-79,2015-08-17,-Inf
25,-79,2015-08-18,-Inf
25,-79,2015-08-19,-Inf
25,-79,2015-08-20,-Inf
25,-79,2015-08-21,-Inf
25,-79,2015-08-22,-Inf
25,-79,2015-08-23,-Inf
25,-79,2015-08-24,-Inf
25,-79,2015-08-25,-Inf
25,-79,2015-08-26,-Inf
25,-79,2015-08-27,-Inf
25,-79,2015-08-28,-Inf
25,-79,2015-08-29,-Inf
25,-79,2015-08-30,-Inf
25,-79,2015-08-31,-Inf
25.1,-82,2015-08-01,-Inf
25.1,-82,2015-08-02,-Inf
25.1,-82,2015-08-03,-Inf
25.1,-82,2015-08-04,-Inf
25.1,-82,2015-08-05,-Inf
25.1,-82,2015-08-06,-Inf
25.1,-82,2015-08-07,-Inf
25.1,-82,2015-08-08,-Inf
25.1,-82,2015-08-09,-Inf
25.1,-82,2015-08-10,-Inf
25.1,-82,2015-08-11,-Inf
25.1,-82,2015-08-12,-Inf
25.1,-82,2015-08-13,-Inf
25.1,-82,2015-08-14,-Inf
25.1,-82,2015-08-15,-Inf
25.1,-82,2015-08-16,-Inf
25.1,-82,2015-08-17,-Inf
25.1,-82,2015-08-18,-Inf
25.1,-82,2015-08-19,-Inf
25.1,-82,2015-08-20,-Inf
25.1,-82,2015-08-21,-Inf
25.1,-82,2015-08-22,-Inf
25.1,-82,2015-08-23,-Inf
25.1,-82,2015-08-24,-Inf
25.1,-82,2015-08-25,-Inf
25.1,-82,2015-08-26,-Inf
25.1,-82,2015-08-27,-Inf
25.1,-82,2015-08-28,-Inf
25.1,-82,2015-08-29,-Inf
25.1,-82,2015-08-30,-Inf
25.1,-82,2015-08-31,-Inf
25.1,-81.9,2015-08-01,-Inf
25.1,-81.9,2015-08-02,-Inf
25.1,-81.9,2015-08-03,-Inf
25.1,-81.9,2015-08-04,-Inf
25.1,-81.9,2015-08-05,-Inf
25.1,-81.9,2015-08-06,-Inf
25.1,-81.9,2015-08-07,-Inf
25.1,-81.9,2015-08-08,-Inf
25.1,-81.9,2015-08-09,-Inf
25.1,-81.9,2015-08-10,-Inf
25.1,-81.9,2015-08-11,-Inf
25.1,-81.9,2015-08-12,-Inf
25.1,-81.9,2015-08-13,-Inf
25.1,-81.9,2015-08-14,-Inf
25.1,-81.9,2015-08-15,-Inf
25.1,-81.9,2015-08-16,-Inf
25.1,-81.9,2015-08-17,-Inf
25.1,-81.9,2015-08-18,-Inf
25.1,-81.9,2015-08-19,-Inf
25.1,-81.9,2015-08-20,-Inf
25.1,-81.9,2015-08-21,-Inf
25.1,-81.9,2015-08-22,-Inf
25.1,-81.9,2015-08-23,-Inf
25.1,-81.9,2015-08-24,-Inf
25.1,-81.9,2015-08-25,-Inf
25.1,-81.9,2015-08-26,-Inf
25.1,-81.9,2015-08-27,-Inf
25.1,-81.9,2015-08-28,-Inf
25.1,-81.9,2015-08-29,-Inf
25.1,-81.9,2015-08-30,-Inf
25.1,-81.9,2015-08-31,-Inf
25.1,-81.8,2015-08-01,-Inf
25.1,-81.8,2015-08-02,-Inf
25.1,-81.8,2015-08-03,-Inf
25.1,-81.8,2015-08-04,-Inf
25.1,-81.8,2015-08-05,-Inf
25.1,-81.8,2015-08-06,-Inf
25.1,-81.8,2015-08-07,-Inf
25.1,-81.8,2015-08-08,-Inf
25.1,-81.8,2015-08-09,-Inf
25.1,-81.8,2015-08-10,-Inf
25.1,-81.8,2015-08-11,-Inf
25.1,-81.8,2015-08-12,-Inf
25.1,-81.8,2015-08-13,-Inf
25.1,-81.8,2015-08-14,-Inf
25.1,-81.8,2015-08-15,-Inf
25.1,-81.8,2015-08-16,-Inf
25.1,-81.8,2015-08-17,-Inf
25.1,-81.8,2015-08-18,-Inf
25.1,-81.8,2015-08-19,-Inf
25.1,-81.8,2015-08-20,-Inf
25.1,-81.8,2015-08-21,-Inf
25.1,-81.8,2015-08-22,-Inf
25.1,-81.8,2015-08-23,-Inf
25.1,-81.8,2015-08-24,-Inf
25.1,-81.8,2015-08-25,-Inf
25.1,-81.8,2015-08-26,-Inf
25.1,-81.8,2015-08-27,-Inf
25.1,-81.8,2015-08-28,-Inf
25.1,-81.8,2015-08-29,-Inf
25.1,-81.8,2015-08-30,-Inf
25.1,-81.8,2015-08-31,-Inf
25.1,-81.7,2015-08-01,-Inf
25.1,-81.7,2015-08-02,-Inf
25.1,-81.7,2015-08-03,-Inf
25.1,-81.7,2015-08-04,-Inf
25.1,-81.7,2015-08-05,-Inf
25.1,-81.7,2015-08-06,-Inf
25.1,-81.7,2015-08-07,-Inf
25.1,-81.7,2015-08-08,-Inf
25.1,-81.7,2015-08-09,-Inf
25.1,-81.7,2015-08-10,-Inf
25.1,-81.7,2015-08-11,-Inf
25.1,-81.7,2015-08-12,-Inf
25.1,-81.7,2015-08-13,-Inf
25.1,-81.7,2015-08-14,-Inf
25.1,-81.7,2015-08-15,-Inf
25.1,-81.7,2015-08-16,-Inf
25.1,-81.7,2015-08-17,-Inf
25.1,-81.7,2015-08-18,-Inf
25.1,-81.7,2015-08-19,-Inf
25.1,-81.7,2015-08-20,-Inf
25.1,-81.7,2015-08-21,-Inf
25.1,-81.7,2015-08-22,-Inf
25.1,-81.7,2015-08-23,-Inf
25.1,-81.7,2015-08-24,-Inf
25.1,-81.7,2015-08-25,-Inf
25.1,-81.7,2015-08-26,-Inf
25.1,-81.7,2015-08-27,-Inf
25.1,-81.7,2015-08-28,-Inf
25.1,-81.7,2015-08-29,-Inf
25.1,-81.7,2015-08-30,-Inf
25.1,-81.7,2015-08-31,-Inf
25.1,-81.6,2015-08-01,-Inf
25.1,-81.6,2015-08-02,-Inf
25.1,-81.6,2015-08-03,-Inf
25.1,-81.6,2015-08-04,-Inf
25.1,-81.6,2015-08-05,-Inf
25.1,-81.6,2015-08-06,-Inf
25.1,-81.6,2015-08-07,-Inf
25.1,-81.6,2015-08-08,-Inf
25.1,-81.6,2015-08-09,-Inf
25.1,-81.6,2015-08-10,-Inf
25.1,-81.6,2015-08-11,-Inf
25.1,-81.6,2015-08-12,-Inf
25.1,-81.6,2015-08-13,-Inf
25.1,-81.6,2015-08-14,-Inf
25.1,-81.6,2015-08-15,-Inf
25.1,-81.6,2015-08-16,-Inf
25.1,-81.6,2015-08-17,-Inf
25.1,-81.6,2015-08-18,-Inf
25.1,-81.6,2015-08-19,-Inf
25.1,-81.6,2015-08-20,-Inf
25.1,-81.6,2015-08-21,-Inf
25.1,-81.6,2015-08-22,-Inf
25.1,-81.6,2015-08-23,-Inf
25.1,-81.6,2015-08-24,-Inf
25.1,-81.6,2015-08-25,-Inf
25.1,-81.6,2015-08-26,-Inf
25.1,-81.6,2015-08-27,-Inf
25.1,-81.6,2015-08-28,-Inf
25.1,-81.6,2015-08-29,-Inf
25.1,-81.6,2015-08-30,-Inf
25.1,-81.6,2015-08-31,-Inf
25.1,-81.5,2015-08-01,-Inf
25.1,-81.5,2015-08-02,-Inf
25.1,-81.5,2015-08-03,-Inf
25.1,-81.5,2015-08-04,-Inf
25.1,-81.5,2015-08-05,-Inf
25.1,-81.5,2015-08-06,-Inf
25.1,-81.5,2015-08-07,-Inf
25.1,-81.5,2015-08-08,-Inf
25.1,-81.5,2015-08-09,-Inf
25.1,-81.5,2015-08-10,-Inf
25.1,-81.5,2015-08-11,-Inf
25.1,-81.5,2015-08-12,-Inf
25.1,-81.5,2015-08-13,-Inf
25.1,-81.5,2015-08-14,-Inf
25.1,-81.5,2015-08-15,-Inf
25.1,-81.5,2015-08-16,-Inf
25.1,-81.5,2015-08-17,-Inf
25.1,-81.5,2015-08-18,-Inf
25.1,-81.5,2015-08-19,-Inf
25.1,-81.5,2015-08-20,-Inf
25.1,-81.5,2015-08-21,-Inf
25.1,-81.5,2015-08-22,-Inf
25.1,-81.5,2015-08-23,-Inf
25.1,-81.5,2015-08-24,-Inf
25.1,-81.5,2015-08-25,-Inf
25.1,-81.5,2015-08-26,-Inf
25.1,-81.5,2015-08-27,-Inf
25.1,-81.5,2015-08-28,-Inf
25.1,-81.5,2015-08-29,-Inf
25.1,-81.5,2015-08-30,-Inf
25.1,-81.5,2015-08-31,-Inf
25.1,-81.4,2015-08-01,-Inf
25.1,-81.4,2015-08-02,-Inf
25.1,-81.4,2015-08-03,-Inf
25.1,-81.4,2015-08-04,-Inf
25.1,-81.4,2015-08-05,-Inf
25.1,-81.4,2015-08-06,-Inf
25.1,-81.4,2015-08-07,-Inf
25.1,-81.4,2015-08-08,-Inf
25.1,-81.4,2015-08-09,-Inf
25.1,-81.4,2015-08-10,-Inf
25.1,-81.4,2015-08-11,-Inf
25.1,-81.4,2015-08-12,-Inf
25.1,-81.4,2015-08-13,-Inf
25.1,-81.4,2015-08-14,-Inf
25.1,-81.4,2015-08-15,-Inf
25.1,-81.4,2015-08-16,-Inf
25.1,-81.4,2015-08-17,-Inf
25.1,-81.4,2015-08-18,-Inf
25.1,-81.4,2015-08-19,-Inf
25.1,-81.4,2015-08-20,-Inf
25.1,-81.4,2015-08-21,-Inf
25.1,-81.4,2015-08-22,-Inf
25.1,-81.4,2015-08-23,-Inf
25.1,-81.4,2015-08-24,-Inf
25.1,-81.4,2015-08-25,-Inf
25.1,-81.4,2015-08-26,-Inf
25.1,-81.4,2015-08-27,-Inf
25.1,-81.4,2015-08-28,-Inf
25.1,-81.4,2015-08-29,-Inf
25.1,-81.4,2015-08-30,-Inf
25.1,-81.4,2015-08-31,-Inf
25.1,-81.3,2015-08-01,-Inf
25.1,-81.3,2015-08-02,-Inf
25.1,-81.3,2015-08-03,-Inf
25.1,-81.3,2015-08-04,-Inf
25.1,-81.3,2015-08-05,-Inf
25.1,-81.3,2015-08-06,-Inf
25.1,-81.3,2015-08-07,-Inf
25.1,-81.3,2015-08-08,-Inf
25.1,-81.3,2015-08-09,-Inf
25.1,-81.3,2015-08-10,-Inf
25.1,-81.3,2015-08-11,-Inf
25.1,-81.3,2015-08-12,-Inf
25.1,-81.3,2015-08-13,-Inf
25.1,-81.3,2015-08-14,-Inf
25.1,-81.3,2015-08-15,-Inf
25.1,-81.3,2015-08-16,-Inf
25.1,-81.3,2015-08-17,-Inf
25.1,-81.3,2015-08-18,-Inf
25.1,-81.3,2015-08-19,-Inf
25.1,-81.3,2015-08-20,-Inf
25.1,-81.3,2015-08-21,-Inf
25.1,-81.3,2015-08-22,-Inf
25.1,-81.3,2015-08-23,-Inf
25.1,-81.3,2015-08-24,-Inf
25.1,-81.3,2015-08-25,-Inf
25.1,-81.3,2015-08-26,-Inf
25.1,-81.3,2015-08-27,-Inf
25.1,-81.3,2015-08-28,-Inf
25.1,-81.3,2015-08-29,-Inf
25.1,-81.3,2015-08-30,-Inf
25.1,-81.3,2015-08-31,-Inf
25.1,-81.2,2015-08-01,-Inf
25.1,-81.2,2015-08-02,-Inf
25.1,-81.2,2015-08-03,-Inf
25.1,-81.2,2015-08-04,-Inf
25.1,-81.2,2015-08-05,-Inf
25.1,-81.2,2015-08-06,-Inf
25.1,-81.2,2015-08-07,-Inf
25.1,-81.2,2015-08-08,-Inf
25.1,-81.2,2015-08-09,-Inf
25.1,-81.2,2015-08-10,-Inf
25.1,-81.2,2015-08-11,-Inf
25.1,-81.2,2015-08-12,-Inf
25.1,-81.2,2015-08-13,-Inf
25.1,-81.2,2015-08-14,-Inf
25.1,-81.2,2015-08-15,-Inf
25.1,-81.2,2015-08-16,-Inf
25.1,-81.2,2015-08-17,-Inf
25.1,-81.2,2015-08-18,-Inf
25.1,-81.2,2015-08-19,-Inf
25.1,-81.2,2015-08-20,-Inf
25.1,-81.2,2015-08-21,-Inf
25.1,-81.2,2015-08-22,-Inf
25.1,-81.2,2015-08-23,-Inf
25.1,-81.2,2015-08-24,-Inf
25.1,-81.2,2015-08-25,-Inf
25.1,-81.2,2015-08-26,-Inf
25.1,-81.2,2015-08-27,-Inf
25.1,-81.2,2015-08-28,-Inf
25.1,-81.2,2015-08-29,-Inf
25.1,-81.2,2015-08-30,-Inf
25.1,-81.2,2015-08-31,-Inf
25.1,-81.1,2015-08-01,-Inf
25.1,-81.1,2015-08-02,-Inf
25.1,-81.1,2015-08-03,-Inf
25.1,-81.1,2015-08-04,-Inf
25.1,-81.1,2015-08-05,-Inf
25.1,-81.1,2015-08-06,-Inf
25.1,-81.1,2015-08-07,-Inf
25.1,-81.1,2015-08-08,-Inf
25.1,-81.1,2015-08-09,-Inf
25.1,-81.1,2015-08-10,-Inf
25.1,-81.1,2015-08-11,-Inf
25.1,-81.1,2015-08-12,-Inf
25.1,-81.1,2015-08-13,-Inf
25.1,-81.1,2015-08-14,-Inf
25.1,-81.1,2015-08-15,-Inf
25.1,-81.1,2015-08-16,-Inf
25.1,-81.1,2015-08-17,-Inf
25.1,-81.1,2015-08-18,-Inf
25.1,-81.1,2015-08-19,-Inf
25.1,-81.1,2015-08-20,-Inf
25.1,-81.1,2015-08-21,-Inf
25.1,-81.1,2015-08-22,-Inf
25.1,-81.1,2015-08-23,-Inf
25.1,-81.1,2015-08-24,-Inf
25.1,-81.1,2015-08-25,-Inf
25.1,-81.1,2015-08-26,-Inf
25.1,-81.1,2015-08-27,-Inf
25.1,-81.1,2015-08-28,-Inf
25.1,-81.1,2015-08-29,-Inf
25.1,-81.1,2015-08-30,-Inf
25.1,-81.1,2015-08-31,-Inf
25.1,-81,2015-08-01,-Inf
25.1,-81,2015-08-02,-Inf
25.1,-81,2015-08-03,-Inf
25.1,-81,2015-08-04,-Inf
25.1,-81,2015-08-05,-Inf
25.1,-81,2015-08-06,-Inf
25.1,-81,2015-08-07,-Inf
25.1,-81,2015-08-08,-Inf
25.1,-81,2015-08-09,-Inf
25.1,-81,2015-08-10,-Inf
25.1,-81,2015-08-11,-Inf
25.1,-81,2015-08-12,-Inf
25.1,-81,2015-08-13,-Inf
25.1,-81,2015-08-14,-Inf
25.1,-81,2015-08-15,-Inf
25.1,-81,2015-08-16,-Inf
25.1,-81,2015-08-17,-Inf
25.1,-81,2015-08-18,-Inf
25.1,-81,2015-08-19,-Inf
25.1,-81,2015-08-20,-Inf
25.1,-81,2015-08-21,-Inf
25.1,-81,2015-08-22,-Inf
25.1,-81,2015-08-23,-Inf
25.1,-81,2015-08-24,-Inf
25.1,-81,2015-08-25,-Inf
25.1,-81,2015-08-26,-Inf
25.1,-81,2015-08-27,-Inf
25.1,-81,2015-08-28,-Inf
25.1,-81,2015-08-29,-Inf
25.1,-81,2015-08-30,-Inf
25.1,-81,2015-08-31,-Inf
25.1,-80.9,2015-08-01,-Inf
25.1,-80.9,2015-08-02,-Inf
25.1,-80.9,2015-08-03,-Inf
25.1,-80.9,2015-08-04,-Inf
25.1,-80.9,2015-08-05,-Inf
25.1,-80.9,2015-08-06,-Inf
25.1,-80.9,2015-08-07,-Inf
25.1,-80.9,2015-08-08,-Inf
25.1,-80.9,2015-08-09,-Inf
25.1,-80.9,2015-08-10,-Inf
25.1,-80.9,2015-08-11,-Inf
25.1,-80.9,2015-08-12,-Inf
25.1,-80.9,2015-08-13,-Inf
25.1,-80.9,2015-08-14,-Inf
25.1,-80.9,2015-08-15,-Inf
25.1,-80.9,2015-08-16,-Inf
25.1,-80.9,2015-08-17,-Inf
25.1,-80.9,2015-08-18,-Inf
25.1,-80.9,2015-08-19,-Inf
25.1,-80.9,2015-08-20,-Inf
25.1,-80.9,2015-08-21,-Inf
25.1,-80.9,2015-08-22,-Inf
25.1,-80.9,2015-08-23,-Inf
25.1,-80.9,2015-08-24,-Inf
25.1,-80.9,2015-08-25,-Inf
25.1,-80.9,2015-08-26,-Inf
25.1,-80.9,2015-08-27,-Inf
25.1,-80.9,2015-08-28,-Inf
25.1,-80.9,2015-08-29,-Inf
25.1,-80.9,2015-08-30,-Inf
25.1,-80.9,2015-08-31,-Inf
25.1,-80.8,2015-08-01,-Inf
25.1,-80.8,2015-08-02,-Inf
25.1,-80.8,2015-08-03,-Inf
25.1,-80.8,2015-08-04,-Inf
25.1,-80.8,2015-08-05,-Inf
25.1,-80.8,2015-08-06,-Inf
25.1,-80.8,2015-08-07,-Inf
25.1,-80.8,2015-08-08,-Inf
25.1,-80.8,2015-08-09,-Inf
25.1,-80.8,2015-08-10,-Inf
25.1,-80.8,2015-08-11,-Inf
25.1,-80.8,2015-08-12,-Inf
25.1,-80.8,2015-08-13,-Inf
25.1,-80.8,2015-08-14,-Inf
25.1,-80.8,2015-08-15,-Inf
25.1,-80.8,2015-08-16,-Inf
25.1,-80.8,2015-08-17,-Inf
25.1,-80.8,2015-08-18,-Inf
25.1,-80.8,2015-08-19,-Inf
25.1,-80.8,2015-08-20,-Inf
25.1,-80.8,2015-08-21,-Inf
25.1,-80.8,2015-08-22,-Inf
25.1,-80.8,2015-08-23,-Inf
25.1,-80.8,2015-08-24,-Inf
25.1,-80.8,2015-08-25,-Inf
25.1,-80.8,2015-08-26,-Inf
25.1,-80.8,2015-08-27,-Inf
25.1,-80.8,2015-08-28,-Inf
25.1,-80.8,2015-08-29,-Inf
25.1,-80.8,2015-08-30,-Inf
25.1,-80.8,2015-08-31,-Inf
25.1,-80.7,2015-08-01,-Inf
25.1,-80.7,2015-08-02,-Inf
25.1,-80.7,2015-08-03,-Inf
25.1,-80.7,2015-08-04,-Inf
25.1,-80.7,2015-08-05,-Inf
25.1,-80.7,2015-08-06,-Inf
25.1,-80.7,2015-08-07,-Inf
25.1,-80.7,2015-08-08,-Inf
25.1,-80.7,2015-08-09,-Inf
25.1,-80.7,2015-08-10,-Inf
25.1,-80.7,2015-08-11,-Inf
25.1,-80.7,2015-08-12,-Inf
25.1,-80.7,2015-08-13,-Inf
25.1,-80.7,2015-08-14,-Inf
25.1,-80.7,2015-08-15,-Inf
25.1,-80.7,2015-08-16,-Inf
25.1,-80.7,2015-08-17,-Inf
25.1,-80.7,2015-08-18,-Inf
25.1,-80.7,2015-08-19,-Inf
25.1,-80.7,2015-08-20,-Inf
25.1,-80.7,2015-08-21,-Inf
25.1,-80.7,2015-08-22,-Inf
25.1,-80.7,2015-08-23,-Inf
25.1,-80.7,2015-08-24,-Inf
25.1,-80.7,2015-08-25,-Inf
25.1,-80.7,2015-08-26,-Inf
25.1,-80.7,2015-08-27,-Inf
25.1,-80.7,2015-08-28,-Inf
25.1,-80.7,2015-08-29,-Inf
25.1,-80.7,2015-08-30,-Inf
25.1,-80.7,2015-08-31,-Inf
25.1,-80.6,2015-08-01,-Inf
25.1,-80.6,2015-08-02,-Inf
25.1,-80.6,2015-08-03,-Inf
25.1,-80.6,2015-08-04,-Inf
25.1,-80.6,2015-08-05,-Inf
25.1,-80.6,2015-08-06,-Inf
25.1,-80.6,2015-08-07,-Inf
25.1,-80.6,2015-08-08,-Inf
25.1,-80.6,2015-08-09,-Inf
25.1,-80.6,2015-08-10,-Inf
25.1,-80.6,2015-08-11,-Inf
25.1,-80.6,2015-08-12,-Inf
25.1,-80.6,2015-08-13,-Inf
25.1,-80.6,2015-08-14,-Inf
25.1,-80.6,2015-08-15,-Inf
25.1,-80.6,2015-08-16,-Inf
25.1,-80.6,2015-08-17,-Inf
25.1,-80.6,2015-08-18,-Inf
25.1,-80.6,2015-08-19,-Inf
25.1,-80.6,2015-08-20,-Inf
25.1,-80.6,2015-08-21,-Inf
25.1,-80.6,2015-08-22,-Inf
25.1,-80.6,2015-08-23,-Inf
25.1,-80.6,2015-08-24,-Inf
25.1,-80.6,2015-08-25,-Inf
25.1,-80.6,2015-08-26,-Inf
25.1,-80.6,2015-08-27,-Inf
25.1,-80.6,2015-08-28,-Inf
25.1,-80.6,2015-08-29,-Inf
25.1,-80.6,2015-08-30,-Inf
25.1,-80.6,2015-08-31,-Inf
25.1,-80.5,2015-08-01,-Inf
25.1,-80.5,2015-08-02,-Inf
25.1,-80.5,2015-08-03,-Inf
25.1,-80.5,2015-08-04,-Inf
25.1,-80.5,2015-08-05,-Inf
25.1,-80.5,2015-08-06,-Inf
25.1,-80.5,2015-08-07,-Inf
25.1,-80.5,2015-08-08,-Inf
25.1,-80.5,2015-08-09,-Inf
25.1,-80.5,2015-08-10,-Inf
25.1,-80.5,2015-08-11,-Inf
25.1,-80.5,2015-08-12,-Inf
25.1,-80.5,2015-08-13,-Inf
25.1,-80.5,2015-08-14,-Inf
